Code,Title,Description
agriculture,Agriculture,"For example, running a small farm."
arts,"Art, Music, Media and Culture","For example, a community radio station."
businessServices,Business Services,"For example, back-office functions."
childcare,Childcare Services,"For example, a nursery."
construction,Construction and Trades,"For example, a plumbing service."
employment,"Employment, Training and Skills Development","For example, a training service."
energy,Energy,"For example, a wind farm."
events,Events and Facilities,"For example, an events hub."
financial,Financial Services and Advice,"For example, financial advice services."
food,Food Production and Catering,"For example, a cafe."
health,Health and Social Care Services,"For example, home care services."
housing,Housing,"For example, a housing association."
manufacturing,Manufacturing,"For example, production of furniture."
retail,Retail,"For example, a local shop."
sports,Sports,"For example, a sports facility."
technology,Technology and Computing,"For example, IT services."
tourism,Tourism,"For example, a local museum."
transport,Transportation,"For example, a taxi service."
utilities,Utilities Provision,"For example, electricity supply."
wholesale,Wholesale,"For example, a farm shop."
